question=['athens' 'greece' 'bangkok' 'thailand'], predicted=thailand
question=['slowing' 'slowed' 'paying' 'paid'], predicted=paid
question=['slowing' 'slowed' 'playing' 'played'], predicted=played
question=['spending' 'spent' 'taking' 'took'], predicted=took
question=['spending' 'spent' 'flying' 'flew'], predicted=flew
question=['spending' 'spent' 'going' 'went'], predicted=went
question=['spending' 'spent' 'hitting' 'hit'], predicted=hit
question=['spending' 'spent' 'increasing' 'increased'], predicted=increased
question=['spending' 'spent' 'knowing' 'knew'], predicted=knew
question=['spending' 'spent' 'looking' 'looked'], predicted=looked
question=['spending' 'spent' 'paying' 'paid'], predicted=paid
question=['spending' 'spent' 'playing' 'played'], predicted=played
question=['spending' 'spent' 'running' 'ran'], predicted=ran
question=['spending' 'spent' 'selling' 'sold'], predicted=sold
question=['striking' 'struck' 'flying' 'flew'], predicted=flew
question=['striking' 'struck' 'generating' 'generated'], predicted=generated
question=['striking' 'struck' 'going' 'went'], predicted=went
question=['striking' 'struck' 'hitting' 'hit'], predicted=hit
question=['striking' 'struck' 'implementing' 'implemented'], predicted=implemented
question=['striking' 'struck' 'increasing' 'increased'], predicted=increased
question=['striking' 'struck' 'knowing' 'knew'], predicted=knew
question=['striking' 'struck' 'paying' 'paid'], predicted=paid
question=['striking' 'struck' 'playing' 'played'], predicted=played
question=['striking' 'struck' 'selling' 'sold'], predicted=sold
question=['striking' 'struck' 'singing' 'sang'], predicted=sang
question=['striking' 'struck' 'sitting' 'sat'], predicted=sat
question=['striking' 'struck' 'spending' 'spent'], predicted=spent
question=['swimming' 'swam' 'taking' 'took'], predicted=took
question=['swimming' 'swam' 'walking' 'walked'], predicted=walked
question=['swimming' 'swam' 'going' 'went'], predicted=went
question=['swimming' 'swam' 'increasing' 'increased'], predicted=increased
question=['swimming' 'swam' 'paying' 'paid'], predicted=paid
question=['swimming' 'swam' 'playing' 'played'], predicted=played
question=['swimming' 'swam' 'running' 'ran'], predicted=ran
question=['taking' 'took' 'writing' 'wrote'], predicted=wrote
question=['taking' 'took' 'falling' 'fell'], predicted=fell
question=['taking' 'took' 'flying' 'flew'], predicted=flew
question=['taking' 'took' 'going' 'went'], predicted=went
question=['taking' 'took' 'increasing' 'increased'], predicted=increased
question=['taking' 'took' 'knowing' 'knew'], predicted=knew
question=['taking' 'took' 'looking' 'looked'], predicted=looked
question=['taking' 'took' 'moving' 'moved'], predicted=moved
question=['taking' 'took' 'paying' 'paid'], predicted=paid
question=['taking' 'took' 'playing' 'played'], predicted=played
question=['taking' 'took' 'running' 'ran'], predicted=ran
question=['taking' 'took' 'seeing' 'saw'], predicted=saw
question=['taking' 'took' 'slowing' 'slowed'], predicted=slowed
question=['taking' 'took' 'spending' 'spent'], predicted=spent
question=['thinking' 'thought' 'describing' 'described'], predicted=described
question=['thinking' 'thought' 'increasing' 'increased'], predicted=increased
question=['thinking' 'thought' 'paying' 'paid'], predicted=paid
question=['thinking' 'thought' 'playing' 'played'], predicted=played
question=['thinking' 'thought' 'predicting' 'predicted'], predicted=predicted
question=['thinking' 'thought' 'saying' 'said'], predicted=said
question=['vanishing' 'vanished' 'going' 'went'], predicted=went
question=['vanishing' 'vanished' 'hitting' 'hit'], predicted=hit
question=['vanishing' 'vanished' 'increasing' 'increased'], predicted=increased
question=['vanishing' 'vanished' 'knowing' 'knew'], predicted=knew
question=['vanishing' 'vanished' 'looking' 'looked'], predicted=looked
question=['vanishing' 'vanished' 'paying' 'paid'], predicted=paid
question=['vanishing' 'vanished' 'running' 'ran'], predicted=ran
question=['walking' 'walked' 'writing' 'wrote'], predicted=wrote
question=['walking' 'walked' 'decreasing' 'decreased'], predicted=decreased
question=['walking' 'walked' 'falling' 'fell'], predicted=fell
question=['walking' 'walked' 'generating' 'generated'], predicted=generated
question=['walking' 'walked' 'going' 'went'], predicted=went
question=['walking' 'walked' 'increasing' 'increased'], predicted=increased
question=['walking' 'walked' 'looking' 'looked'], predicted=looked
question=['walking' 'walked' 'moving' 'moved'], predicted=moved
question=['walking' 'walked' 'paying' 'paid'], predicted=paid
question=['walking' 'walked' 'playing' 'played'], predicted=played
question=['walking' 'walked' 'running' 'ran'], predicted=ran
question=['walking' 'walked' 'selling' 'sold'], predicted=sold
question=['walking' 'walked' 'taking' 'took'], predicted=took
question=['writing' 'wrote' 'falling' 'fell'], predicted=fell
question=['writing' 'wrote' 'going' 'went'], predicted=went
question=['writing' 'wrote' 'hitting' 'hit'], predicted=hit
question=['writing' 'wrote' 'increasing' 'increased'], predicted=increased
question=['writing' 'wrote' 'knowing' 'knew'], predicted=knew
question=['writing' 'wrote' 'looking' 'looked'], predicted=looked
question=['writing' 'wrote' 'moving' 'moved'], predicted=moved
question=['writing' 'wrote' 'paying' 'paid'], predicted=paid
question=['writing' 'wrote' 'playing' 'played'], predicted=played
question=['writing' 'wrote' 'running' 'ran'], predicted=ran
question=['writing' 'wrote' 'selling' 'sold'], predicted=sold
question=['writing' 'wrote' 'spending' 'spent'], predicted=spent
question=['writing' 'wrote' 'taking' 'took'], predicted=took
question=['banana' 'bananas' 'bird' 'birds'], predicted=birds
question=['banana' 'bananas' 'building' 'buildings'], predicted=buildings
question=['banana' 'bananas' 'car' 'cars'], predicted=cars
question=['banana' 'bananas' 'cat' 'cats'], predicted=cats
question=['banana' 'bananas' 'child' 'children'], predicted=children
question=['banana' 'bananas' 'cloud' 'clouds'], predicted=clouds
question=['banana' 'bananas' 'computer' 'computers'], predicted=computers
question=['banana' 'bananas' 'dog' 'dogs'], predicted=dogs
question=['banana' 'bananas' 'dream' 'dreams'], predicted=dreams
question=['banana' 'bananas' 'elephant' 'elephants'], predicted=elephants
question=['banana' 'bananas' 'eye' 'eyes'], predicted=eyes
question=['banana' 'bananas' 'hand' 'hands'], predicted=hands
question=['banana' 'bananas' 'horse' 'horses'], predicted=horses
question=['banana' 'bananas' 'machine' 'machines'], predicted=machines
question=['banana' 'bananas' 'pig' 'pigs'], predicted=pigs
question=['banana' 'bananas' 'pineapple' 'pineapples'], predicted=pineapples
question=['banana' 'bananas' 'road' 'roads'], predicted=roads
question=['bird' 'birds' 'building' 'buildings'], predicted=buildings
question=['bird' 'birds' 'car' 'cars'], predicted=cars
question=['bird' 'birds' 'cat' 'cats'], predicted=cats
question=['bird' 'birds' 'child' 'children'], predicted=children
question=['bird' 'birds' 'cloud' 'clouds'], predicted=clouds
question=['bird' 'birds' 'color' 'colors'], predicted=colors
question=['bird' 'birds' 'computer' 'computers'], predicted=computers
question=['bird' 'birds' 'cow' 'cows'], predicted=cows
question=['bird' 'birds' 'dog' 'dogs'], predicted=dogs
question=['bird' 'birds' 'dream' 'dreams'], predicted=dreams
question=['bird' 'birds' 'finger' 'fingers'], predicted=fingers
question=['bird' 'birds' 'goat' 'goats'], predicted=goats
question=['bird' 'birds' 'hand' 'hands'], predicted=hands
question=['bird' 'birds' 'horse' 'horses'], predicted=horses
question=['bird' 'birds' 'machine' 'machines'], predicted=machines
question=['bird' 'birds' 'man' 'men'], predicted=men
question=['bird' 'birds' 'mouse' 'mice'], predicted=mice
question=['bird' 'birds' 'pineapple' 'pineapples'], predicted=pineapples
question=['bird' 'birds' 'road' 'roads'], predicted=roads
question=['bird' 'birds' 'woman' 'women'], predicted=women
question=['bottle' 'bottles' 'building' 'buildings'], predicted=buildings
question=['bottle' 'bottles' 'car' 'cars'], predicted=cars
question=['bottle' 'bottles' 'cat' 'cats'], predicted=cats
question=['bottle' 'bottles' 'child' 'children'], predicted=children
question=['bottle' 'bottles' 'cloud' 'clouds'], predicted=clouds
question=['bottle' 'bottles' 'color' 'colors'], predicted=colors
question=['bottle' 'bottles' 'computer' 'computers'], predicted=computers
question=['bottle' 'bottles' 'cow' 'cows'], predicted=cows
question=['bottle' 'bottles' 'dog' 'dogs'], predicted=dogs
question=['bottle' 'bottles' 'elephant' 'elephants'], predicted=elephants
question=['bottle' 'bottles' 'finger' 'fingers'], predicted=fingers
question=['bottle' 'bottles' 'horse' 'horses'], predicted=horses
question=['bottle' 'bottles' 'machine' 'machines'], predicted=machines
question=['bottle' 'bottles' 'pig' 'pigs'], predicted=pigs
question=['bottle' 'bottles' 'road' 'roads'], predicted=roads
question=['bottle' 'bottles' 'bird' 'birds'], predicted=birds
question=['building' 'buildings' 'car' 'cars'], predicted=cars
question=['building' 'buildings' 'cat' 'cats'], predicted=cats
question=['building' 'buildings' 'child' 'children'], predicted=children
question=['building' 'buildings' 'cloud' 'clouds'], predicted=clouds
question=['building' 'buildings' 'color' 'colors'], predicted=colors
question=['building' 'buildings' 'computer' 'computers'], predicted=computers
question=['building' 'buildings' 'dog' 'dogs'], predicted=dogs
question=['building' 'buildings' 'dollar' 'dollars'], predicted=dollars
question=['building' 'buildings' 'dream' 'dreams'], predicted=dreams
question=['building' 'buildings' 'elephant' 'elephants'], predicted=elephants
question=['building' 'buildings' 'eye' 'eyes'], predicted=eyes
question=['building' 'buildings' 'finger' 'fingers'], predicted=fingers
question=['building' 'buildings' 'goat' 'goats'], predicted=goats
question=['building' 'buildings' 'hand' 'hands'], predicted=hands
question=['building' 'buildings' 'horse' 'horses'], predicted=horses
question=['building' 'buildings' 'man' 'men'], predicted=men
question=['building' 'buildings' 'mouse' 'mice'], predicted=mice
question=['building' 'buildings' 'road' 'roads'], predicted=roads
question=['building' 'buildings' 'woman' 'women'], predicted=women
question=['building' 'buildings' 'bird' 'birds'], predicted=birds
question=['building' 'buildings' 'bottle' 'bottles'], predicted=bottles
question=['car' 'cars' 'cat' 'cats'], predicted=cats
question=['car' 'cars' 'child' 'children'], predicted=children
question=['car' 'cars' 'cloud' 'clouds'], predicted=clouds
question=['car' 'cars' 'computer' 'computers'], predicted=computers
question=['car' 'cars' 'dog' 'dogs'], predicted=dogs
question=['car' 'cars' 'dollar' 'dollars'], predicted=dollars
question=['car' 'cars' 'dream' 'dreams'], predicted=dreams
question=['car' 'cars' 'elephant' 'elephants'], predicted=elephants
question=['car' 'cars' 'eye' 'eyes'], predicted=eyes
question=['car' 'cars' 'finger' 'fingers'], predicted=fingers
question=['car' 'cars' 'horse' 'horses'], predicted=horses
question=['car' 'cars' 'machine' 'machines'], predicted=machines
question=['car' 'cars' 'man' 'men'], predicted=men
question=['car' 'cars' 'mouse' 'mice'], predicted=mice
question=['car' 'cars' 'road' 'roads'], predicted=roads
question=['car' 'cars' 'woman' 'women'], predicted=women
question=['car' 'cars' 'bird' 'birds'], predicted=birds
question=['car' 'cars' 'bottle' 'bottles'], predicted=bottles
question=['car' 'cars' 'building' 'buildings'], predicted=buildings
question=['cat' 'cats' 'child' 'children'], predicted=children
question=['cat' 'cats' 'cloud' 'clouds'], predicted=clouds
question=['cat' 'cats' 'color' 'colors'], predicted=colors
question=['cat' 'cats' 'dog' 'dogs'], predicted=dogs
question=['cat' 'cats' 'dollar' 'dollars'], predicted=dollars
question=['cat' 'cats' 'dream' 'dreams'], predicted=dreams
question=['cat' 'cats' 'eagle' 'eagles'], predicted=eagles
question=['cat' 'cats' 'elephant' 'elephants'], predicted=elephants
question=['cat' 'cats' 'eye' 'eyes'], predicted=eyes
question=['cat' 'cats' 'finger' 'fingers'], predicted=fingers
question=['cat' 'cats' 'goat' 'goats'], predicted=goats
question=['cat' 'cats' 'horse' 'horses'], predicted=horses
question=['cat' 'cats' 'lion' 'lions'], predicted=lions
question=['cat' 'cats' 'man' 'men'], predicted=men
question=['cat' 'cats' 'mouse' 'mice'], predicted=mice
question=['cat' 'cats' 'pig' 'pigs'], predicted=pigs
question=['cat' 'cats' 'road' 'roads'], predicted=roads
question=['cat' 'cats' 'bird' 'birds'], predicted=birds
question=['cat' 'cats' 'building' 'buildings'], predicted=buildings
question=['cat' 'cats' 'car' 'cars'], predicted=cars
question=['child' 'children' 'cloud' 'clouds'], predicted=clouds
question=['child' 'children' 'color' 'colors'], predicted=colors
question=['child' 'children' 'dog' 'dogs'], predicted=dogs
question=['child' 'children' 'dollar' 'dollars'], predicted=dollars
question=['child' 'children' 'dream' 'dreams'], predicted=dreams
question=['child' 'children' 'elephant' 'elephants'], predicted=elephants
question=['child' 'children' 'eye' 'eyes'], predicted=eyes
question=['child' 'children' 'finger' 'fingers'], predicted=fingers
question=['child' 'children' 'horse' 'horses'], predicted=horses
question=['child' 'children' 'machine' 'machines'], predicted=machines
question=['child' 'children' 'man' 'men'], predicted=men
question=['child' 'children' 'mouse' 'mice'], predicted=mice
question=['child' 'children' 'road' 'roads'], predicted=roads
question=['child' 'children' 'woman' 'women'], predicted=women
question=['child' 'children' 'bird' 'birds'], predicted=birds
question=['child' 'children' 'bottle' 'bottles'], predicted=bottles
question=['child' 'children' 'building' 'buildings'], predicted=buildings
question=['child' 'children' 'car' 'cars'], predicted=cars
question=['child' 'children' 'cat' 'cats'], predicted=cats
question=['cloud' 'clouds' 'color' 'colors'], predicted=colors
question=['cloud' 'clouds' 'dream' 'dreams'], predicted=dreams
question=['cloud' 'clouds' 'elephant' 'elephants'], predicted=elephants
question=['cloud' 'clouds' 'finger' 'fingers'], predicted=fingers
question=['cloud' 'clouds' 'horse' 'horses'], predicted=horses
question=['cloud' 'clouds' 'machine' 'machines'], predicted=machines
question=['cloud' 'clouds' 'man' 'men'], predicted=men
question=['cloud' 'clouds' 'mouse' 'mice'], predicted=mice
question=['cloud' 'clouds' 'onion' 'onions'], predicted=onions
question=['cloud' 'clouds' 'road' 'roads'], predicted=roads
question=['cloud' 'clouds' 'bird' 'birds'], predicted=birds
question=['cloud' 'clouds' 'building' 'buildings'], predicted=buildings
question=['cloud' 'clouds' 'car' 'cars'], predicted=cars
question=['cloud' 'clouds' 'cat' 'cats'], predicted=cats
question=['cloud' 'clouds' 'child' 'children'], predicted=children
question=['color' 'colors' 'computer' 'computers'], predicted=computers
question=['color' 'colors' 'dollar' 'dollars'], predicted=dollars
question=['color' 'colors' 'dream' 'dreams'], predicted=dreams
question=['color' 'colors' 'elephant' 'elephants'], predicted=elephants
question=['color' 'colors' 'eye' 'eyes'], predicted=eyes
question=['color' 'colors' 'finger' 'fingers'], predicted=fingers
question=['color' 'colors' 'goat' 'goats'], predicted=goats
question=['color' 'colors' 'horse' 'horses'], predicted=horses
question=['color' 'colors' 'machine' 'machines'], predicted=machines
question=['color' 'colors' 'man' 'men'], predicted=men
question=['color' 'colors' 'mouse' 'mice'], predicted=mice
question=['color' 'colors' 'road' 'roads'], predicted=roads
question=['color' 'colors' 'woman' 'women'], predicted=women
question=['color' 'colors' 'bird' 'birds'], predicted=birds
question=['color' 'colors' 'bottle' 'bottles'], predicted=bottles
question=['color' 'colors' 'building' 'buildings'], predicted=buildings
question=['color' 'colors' 'car' 'cars'], predicted=cars
question=['color' 'colors' 'cat' 'cats'], predicted=cats
question=['color' 'colors' 'child' 'children'], predicted=children
question=['color' 'colors' 'cloud' 'clouds'], predicted=clouds
question=['computer' 'computers' 'dog' 'dogs'], predicted=dogs
question=['computer' 'computers' 'dollar' 'dollars'], predicted=dollars
question=['computer' 'computers' 'dream' 'dreams'], predicted=dreams
question=['computer' 'computers' 'elephant' 'elephants'], predicted=elephants
question=['computer' 'computers' 'eye' 'eyes'], predicted=eyes
question=['computer' 'computers' 'finger' 'fingers'], predicted=fingers
question=['computer' 'computers' 'goat' 'goats'], predicted=goats
question=['computer' 'computers' 'hand' 'hands'], predicted=hands
question=['computer' 'computers' 'horse' 'horses'], predicted=horses
question=['computer' 'computers' 'machine' 'machines'], predicted=machines
question=['computer' 'computers' 'man' 'men'], predicted=men
question=['computer' 'computers' 'pig' 'pigs'], predicted=pigs
question=['computer' 'computers' 'bird' 'birds'], predicted=birds
question=['computer' 'computers' 'bottle' 'bottles'], predicted=bottles
question=['computer' 'computers' 'building' 'buildings'], predicted=buildings
question=['computer' 'computers' 'car' 'cars'], predicted=cars
question=['computer' 'computers' 'cat' 'cats'], predicted=cats
question=['computer' 'computers' 'child' 'children'], predicted=children
question=['computer' 'computers' 'cloud' 'clouds'], predicted=clouds
question=['computer' 'computers' 'color' 'colors'], predicted=colors
question=['cow' 'cows' 'dog' 'dogs'], predicted=dogs
question=['cow' 'cows' 'dream' 'dreams'], predicted=dreams
question=['cow' 'cows' 'elephant' 'elephants'], predicted=elephants
question=['cow' 'cows' 'finger' 'fingers'], predicted=fingers
question=['cow' 'cows' 'goat' 'goats'], predicted=goats
question=['cow' 'cows' 'horse' 'horses'], predicted=horses
question=['cow' 'cows' 'lion' 'lions'], predicted=lions
question=['cow' 'cows' 'man' 'men'], predicted=men
question=['cow' 'cows' 'mouse' 'mice'], predicted=mice
question=['cow' 'cows' 'road' 'roads'], predicted=roads
question=['cow' 'cows' 'woman' 'women'], predicted=women
question=['cow' 'cows' 'bird' 'birds'], predicted=birds
question=['cow' 'cows' 'bottle' 'bottles'], predicted=bottles
question=['cow' 'cows' 'building' 'buildings'], predicted=buildings
question=['cow' 'cows' 'car' 'cars'], predicted=cars
question=['cow' 'cows' 'cat' 'cats'], predicted=cats
question=['cow' 'cows' 'child' 'children'], predicted=children
question=['cow' 'cows' 'cloud' 'clouds'], predicted=clouds
question=['dog' 'dogs' 'dream' 'dreams'], predicted=dreams
question=['dog' 'dogs' 'elephant' 'elephants'], predicted=elephants
question=['dog' 'dogs' 'finger' 'fingers'], predicted=fingers
question=['dog' 'dogs' 'goat' 'goats'], predicted=goats
question=['dog' 'dogs' 'hand' 'hands'], predicted=hands
question=['dog' 'dogs' 'horse' 'horses'], predicted=horses
question=['dog' 'dogs' 'machine' 'machines'], predicted=machines
question=['dog' 'dogs' 'man' 'men'], predicted=men
question=['dog' 'dogs' 'mouse' 'mice'], predicted=mice
question=['dog' 'dogs' 'pig' 'pigs'], predicted=pigs
question=['dog' 'dogs' 'pineapple' 'pineapples'], predicted=pineapples
question=['dog' 'dogs' 'rat' 'rats'], predicted=rats
question=['dog' 'dogs' 'road' 'roads'], predicted=roads
question=['dog' 'dogs' 'woman' 'women'], predicted=women
question=['dog' 'dogs' 'bird' 'birds'], predicted=birds
question=['dog' 'dogs' 'building' 'buildings'], predicted=buildings
question=['dog' 'dogs' 'car' 'cars'], predicted=cars
question=['dog' 'dogs' 'cat' 'cats'], predicted=cats
question=['dog' 'dogs' 'child' 'children'], predicted=children
question=['dog' 'dogs' 'cloud' 'clouds'], predicted=clouds
question=['dog' 'dogs' 'computer' 'computers'], predicted=computers
question=['dollar' 'dollars' 'dream' 'dreams'], predicted=dreams
question=['dollar' 'dollars' 'elephant' 'elephants'], predicted=elephants
question=['dollar' 'dollars' 'goat' 'goats'], predicted=goats
question=['dollar' 'dollars' 'horse' 'horses'], predicted=horses
question=['dollar' 'dollars' 'machine' 'machines'], predicted=machines
question=['dollar' 'dollars' 'man' 'men'], predicted=men
question=['dollar' 'dollars' 'mouse' 'mice'], predicted=mice
question=['dollar' 'dollars' 'pig' 'pigs'], predicted=pigs
question=['dollar' 'dollars' 'road' 'roads'], predicted=roads
question=['dollar' 'dollars' 'woman' 'women'], predicted=women
question=['dollar' 'dollars' 'bird' 'birds'], predicted=birds
question=['dollar' 'dollars' 'building' 'buildings'], predicted=buildings
question=['dollar' 'dollars' 'car' 'cars'], predicted=cars
question=['dollar' 'dollars' 'child' 'children'], predicted=children
question=['dollar' 'dollars' 'cloud' 'clouds'], predicted=clouds
question=['dollar' 'dollars' 'color' 'colors'], predicted=colors
question=['dollar' 'dollars' 'computer' 'computers'], predicted=computers
question=['dollar' 'dollars' 'dog' 'dogs'], predicted=dogs
question=['donkey' 'donkeys' 'dream' 'dreams'], predicted=dreams
question=['donkey' 'donkeys' 'elephant' 'elephants'], predicted=elephants
question=['donkey' 'donkeys' 'finger' 'fingers'], predicted=fingers
question=['donkey' 'donkeys' 'horse' 'horses'], predicted=horses
question=['donkey' 'donkeys' 'man' 'men'], predicted=men
question=['donkey' 'donkeys' 'mouse' 'mice'], predicted=mice
question=['donkey' 'donkeys' 'road' 'roads'], predicted=roads
question=['donkey' 'donkeys' 'woman' 'women'], predicted=women
question=['donkey' 'donkeys' 'bird' 'birds'], predicted=birds
question=['donkey' 'donkeys' 'building' 'buildings'], predicted=buildings
question=['donkey' 'donkeys' 'car' 'cars'], predicted=cars
question=['donkey' 'donkeys' 'child' 'children'], predicted=children
question=['donkey' 'donkeys' 'computer' 'computers'], predicted=computers
question=['donkey' 'donkeys' 'dog' 'dogs'], predicted=dogs
question=['dream' 'dreams' 'elephant' 'elephants'], predicted=elephants
question=['dream' 'dreams' 'finger' 'fingers'], predicted=fingers
question=['dream' 'dreams' 'goat' 'goats'], predicted=goats
question=['dream' 'dreams' 'horse' 'horses'], predicted=horses
question=['dream' 'dreams' 'machine' 'machines'], predicted=machines
question=['dream' 'dreams' 'man' 'men'], predicted=men
question=['dream' 'dreams' 'road' 'roads'], predicted=roads
question=['dream' 'dreams' 'woman' 'women'], predicted=women
question=['dream' 'dreams' 'bird' 'birds'], predicted=birds
question=['dream' 'dreams' 'building' 'buildings'], predicted=buildings
question=['dream' 'dreams' 'car' 'cars'], predicted=cars
question=['dream' 'dreams' 'cat' 'cats'], predicted=cats
question=['dream' 'dreams' 'child' 'children'], predicted=children
question=['dream' 'dreams' 'cloud' 'clouds'], predicted=clouds
question=['dream' 'dreams' 'computer' 'computers'], predicted=computers
question=['eagle' 'eagles' 'elephant' 'elephants'], predicted=elephants
question=['eagle' 'eagles' 'eye' 'eyes'], predicted=eyes
question=['eagle' 'eagles' 'finger' 'fingers'], predicted=fingers
question=['eagle' 'eagles' 'goat' 'goats'], predicted=goats
question=['eagle' 'eagles' 'horse' 'horses'], predicted=horses
question=['eagle' 'eagles' 'lion' 'lions'], predicted=lions
question=['eagle' 'eagles' 'machine' 'machines'], predicted=machines
question=['eagle' 'eagles' 'man' 'men'], predicted=men
question=['eagle' 'eagles' 'pig' 'pigs'], predicted=pigs
question=['eagle' 'eagles' 'road' 'roads'], predicted=roads
question=['eagle' 'eagles' 'woman' 'women'], predicted=women
question=['eagle' 'eagles' 'bird' 'birds'], predicted=birds
question=['eagle' 'eagles' 'building' 'buildings'], predicted=buildings
question=['eagle' 'eagles' 'car' 'cars'], predicted=cars
question=['eagle' 'eagles' 'cat' 'cats'], predicted=cats
question=['eagle' 'eagles' 'child' 'children'], predicted=children
question=['eagle' 'eagles' 'cow' 'cows'], predicted=cows
question=['eagle' 'eagles' 'dog' 'dogs'], predicted=dogs
question=['eagle' 'eagles' 'dollar' 'dollars'], predicted=dollars
question=['eagle' 'eagles' 'dream' 'dreams'], predicted=dreams
question=['elephant' 'elephants' 'eye' 'eyes'], predicted=eyes
question=['elephant' 'elephants' 'finger' 'fingers'], predicted=fingers
question=['elephant' 'elephants' 'goat' 'goats'], predicted=goats
question=['elephant' 'elephants' 'hand' 'hands'], predicted=hands
question=['elephant' 'elephants' 'horse' 'horses'], predicted=horses
question=['elephant' 'elephants' 'man' 'men'], predicted=men
question=['elephant' 'elephants' 'mouse' 'mice'], predicted=mice
question=['elephant' 'elephants' 'road' 'roads'], predicted=roads
question=['elephant' 'elephants' 'bird' 'birds'], predicted=birds
question=['elephant' 'elephants' 'bottle' 'bottles'], predicted=bottles
question=['elephant' 'elephants' 'building' 'buildings'], predicted=buildings
question=['elephant' 'elephants' 'car' 'cars'], predicted=cars
question=['elephant' 'elephants' 'child' 'children'], predicted=children
question=['elephant' 'elephants' 'cloud' 'clouds'], predicted=clouds
question=['elephant' 'elephants' 'computer' 'computers'], predicted=computers
question=['elephant' 'elephants' 'dog' 'dogs'], predicted=dogs
question=['elephant' 'elephants' 'dream' 'dreams'], predicted=dreams
question=['eye' 'eyes' 'finger' 'fingers'], predicted=fingers
question=['eye' 'eyes' 'goat' 'goats'], predicted=goats
question=['eye' 'eyes' 'hand' 'hands'], predicted=hands
question=['eye' 'eyes' 'horse' 'horses'], predicted=horses
question=['eye' 'eyes' 'road' 'roads'], predicted=roads
question=['eye' 'eyes' 'bottle' 'bottles'], predicted=bottles
question=['eye' 'eyes' 'car' 'cars'], predicted=cars
question=['eye' 'eyes' 'cat' 'cats'], predicted=cats
question=['eye' 'eyes' 'child' 'children'], predicted=children
question=['eye' 'eyes' 'cloud' 'clouds'], predicted=clouds
question=['eye' 'eyes' 'computer' 'computers'], predicted=computers
question=['eye' 'eyes' 'dog' 'dogs'], predicted=dogs
question=['eye' 'eyes' 'dollar' 'dollars'], predicted=dollars
question=['eye' 'eyes' 'dream' 'dreams'], predicted=dreams
question=['eye' 'eyes' 'elephant' 'elephants'], predicted=elephants
question=['finger' 'fingers' 'goat' 'goats'], predicted=goats
question=['finger' 'fingers' 'hand' 'hands'], predicted=hands
question=['finger' 'fingers' 'horse' 'horses'], predicted=horses
question=['finger' 'fingers' 'machine' 'machines'], predicted=machines
question=['finger' 'fingers' 'monkey' 'monkeys'], predicted=monkeys
question=['finger' 'fingers' 'mouse' 'mice'], predicted=mice
question=['finger' 'fingers' 'bottle' 'bottles'], predicted=bottles
question=['finger' 'fingers' 'building' 'buildings'], predicted=buildings
question=['finger' 'fingers' 'car' 'cars'], predicted=cars
question=['finger' 'fingers' 'cat' 'cats'], predicted=cats
question=['finger' 'fingers' 'child' 'children'], predicted=children
question=['finger' 'fingers' 'cloud' 'clouds'], predicted=clouds
question=['finger' 'fingers' 'cow' 'cows'], predicted=cows
question=['finger' 'fingers' 'dog' 'dogs'], predicted=dogs
question=['finger' 'fingers' 'dream' 'dreams'], predicted=dreams
question=['finger' 'fingers' 'elephant' 'elephants'], predicted=elephants
question=['goat' 'goats' 'horse' 'horses'], predicted=horses
question=['goat' 'goats' 'machine' 'machines'], predicted=machines
question=['goat' 'goats' 'man' 'men'], predicted=men
question=['goat' 'goats' 'mouse' 'mice'], predicted=mice
question=['goat' 'goats' 'pig' 'pigs'], predicted=pigs
question=['goat' 'goats' 'road' 'roads'], predicted=roads
question=['goat' 'goats' 'bird' 'birds'], predicted=birds
question=['goat' 'goats' 'building' 'buildings'], predicted=buildings
question=['goat' 'goats' 'car' 'cars'], predicted=cars
question=['goat' 'goats' 'cat' 'cats'], predicted=cats
question=['goat' 'goats' 'child' 'children'], predicted=children
question=['goat' 'goats' 'cloud' 'clouds'], predicted=clouds
question=['goat' 'goats' 'computer' 'computers'], predicted=computers
question=['goat' 'goats' 'dog' 'dogs'], predicted=dogs
question=['goat' 'goats' 'dollar' 'dollars'], predicted=dollars
question=['goat' 'goats' 'dream' 'dreams'], predicted=dreams
question=['goat' 'goats' 'elephant' 'elephants'], predicted=elephants
question=['goat' 'goats' 'eye' 'eyes'], predicted=eyes
question=['goat' 'goats' 'finger' 'fingers'], predicted=fingers
question=['hand' 'hands' 'horse' 'horses'], predicted=horses
question=['hand' 'hands' 'machine' 'machines'], predicted=machines
question=['hand' 'hands' 'man' 'men'], predicted=men
question=['hand' 'hands' 'road' 'roads'], predicted=roads
question=['hand' 'hands' 'bird' 'birds'], predicted=birds
question=['hand' 'hands' 'building' 'buildings'], predicted=buildings
question=['hand' 'hands' 'car' 'cars'], predicted=cars
question=['hand' 'hands' 'cloud' 'clouds'], predicted=clouds
question=['hand' 'hands' 'computer' 'computers'], predicted=computers
question=['hand' 'hands' 'dream' 'dreams'], predicted=dreams
question=['hand' 'hands' 'elephant' 'elephants'], predicted=elephants
question=['hand' 'hands' 'eye' 'eyes'], predicted=eyes
question=['hand' 'hands' 'finger' 'fingers'], predicted=fingers
question=['hand' 'hands' 'goat' 'goats'], predicted=goats
question=['horse' 'horses' 'machine' 'machines'], predicted=machines
question=['horse' 'horses' 'man' 'men'], predicted=men
question=['horse' 'horses' 'mouse' 'mice'], predicted=mice
question=['horse' 'horses' 'pig' 'pigs'], predicted=pigs
question=['horse' 'horses' 'pineapple' 'pineapples'], predicted=pineapples
question=['horse' 'horses' 'road' 'roads'], predicted=roads
